term,normalized_term,category
Learning Disorders,learning disorder,psychology
"Psychosis, Korsakoff",psychosis korsakoff,psychology
"Complex, Disinhibition-Dementia-Parkinsonism-Amytrophy",complex disinhibition dementia parkinson,psychology
Self Concept,self concept,psychology
"Habit, Food",habit food,psychology
Satiety Responses,satiety response,psychology
Habit,habit,psychology
"Pain, Breast",pain breast,psychology
Denial,denial,psychology
Global Amnesia,global amnesia,psychology
"Behaviors, Stereotyped",behavior stereotyped,psychology
Conduct Disorders,conduct disorder,psychology
"Emergence, Agitated",emergence agitated,psychology
"Behavior, Sex",behavior sex,psychology
Animal Vocalizations,animal vocalizations,psychology
Facial trustworthiness recognition,facial trustworthiness recognition,psychology
Chronic Progressive Hereditary Chorea (Huntington),chronic progressive hereditary chorea huntington,psychology
Amphetamine Related Disorders,amphetamine related disorder,psychology
Breast Feeding,breastfeeding,psychology
Occupational Stress,occupational stress,psychology
interference control,interference control,psychology
Nocturnal Leg Cramp,nocturnal leg cramp,psychology
Thermosensation,,psychology
Workplace Stresses,workplace stress,psychology
"Issue, Gender",issue gender,psychology
"Behavior, Social",behavior social,psychology
Medication Compliance,medication compliance,psychology
"Household, One-Person",household one person,psychology
Mother-Infant Relation,mother infant relationship,psychology
Drug Withdrawal Symptoms,drug withdrawal symptoms,psychology
Paranoid Personalities,paranoid person,psychology
Combined Multiple Motor and Vocal Tic Disorder,combined multiple motor vocal tic disorder,psychology
"Memories, Episodic",memories episodic,psychology
Morphological processing,morphological processing,psychology
Animacy perception,animacy perception,psychology
"Mood Disorders, Seasonal",mood disorder seasonal,psychology
Memory,memory,psychology
Emotional face recognition,emotional face recognition,psychology
"Mother, Gestational",mother gestational,psychology
"Feeding, Breast",feeding breast,psychology
Healthy Eating Index,healthy eating index,psychology
Peer Influence,peer influence,psychology
"Disorders, Antisocial Personality",disorder antisocial personality,psychology
Dental Anxiety,dental anxiety,psychology
Post-Traumatic Stress Disorders,post traumatic stress disorder,psychology
"Clients, Contacting",client contacting,psychology
Dowry,,psychology
"Thinking, Group",thinking group,psychology
Contrastive stress,contrast stress,psychology
"Mutism, Organic",mutism organic,psychology
Schizoid Personality Disorders,schizoid personality disorder,psychology
"Behaviors, Tool Use",behavior tool use,psychology
Working memory updating,working memory updating,psychology
Motivation,motivation,psychology
Gustation processing,gustation process,psychology
"Encephalopathy, AIDS",encephalopathy aids,psychology
Self Control,self control,psychology
Visual Auditory Spatial Processing,visual auditory spatial processing,psychology
Childhood-Onset Schizophrenia,childhood onset schizophrenia,psychology
Patient Noncompliance,patient noncompliance,psychology
Incivility,,psychology
"Behaviors, Health",behavior healthy,psychology
"Substance Abuses, Oral",substance oral,psychology
"Behavior, Novelty-Seeking",behavior novelty seeking,psychology
"Seeking Behaviors, Host",seeking behavior host,psychology
Language production,language production,psychology
"Hallucination, Auditory",hallucination auditory,psychology
"Depressive Disorders, Major",depressive disorder major,psychology
"Kinetic Apraxia, Limb",kinetic apraxia limb,psychology
Delusory Parasitoses,,psychology
Right finger response execution,right finger response execution,psychology
Rapid Eye Movements,rapid eye movement,psychology
Gustatory perception,gustatory perception,psychology
Paranoid Personality Disorder,paranoid personality disorder,psychology
"Vision, Stereoscopic",vision stereoscopic,psychology
Paraphilia,,psychology
"Childhood Experiences, Adverse",childhood experience adverse,psychology
"Stress, Psychologic",stress psychological,psychology
"Amnestic Disorder, Alcohol",amnestic disorder alcohol,psychology
"Meetings, Group",meeting group,psychology
"sound perception, tone perception",sound perception tone perception,psychology
Drunkennesses,,psychology
Mother-Infant Interactions,mother infant interaction,psychology
"Thresholds, Differential",threshold difference,psychology
"Vision, Scotopic",vision scotopic,psychology
"Agnosia, Somatosensory",agnosia somatosensory,psychology
Muscle Soreness,muscle soreness,psychology
Learning Disorder,learning disorder,psychology
Specific Learning Disorder,specific learning disorder,psychology
Instrumental conditioning,instrumental conditioning,psychology
Mother Child Relationship,mother child relationship,psychology
Early Infantile Autism,early infantile autism,psychology
"Behavior, Risk",behavior risk,psychology
Auditory Hallucinations,auditory hallucination,psychology
Tactile Agnosia,tactile agnosia,psychology
Perceptual priming,perceptual priming,psychology
Spatial Visualization,spatial visualization,psychology
Teenage Drinking,teenage drinking,psychology
Coronary-Prone Personality,coronary prone person,psychology
Nurse Patient Relationship,nurse patient relationship,psychology
Self Stimulation,self stimulation,psychology
Emotional expression,emotional expression,psychology
"Dyscalculia, Acquired",dyscalculia acquired,psychology
Tonic Immobility Responses,tonic immobility response,psychology
Mind-Body Relation (Metaphysics),mind body relationship,psychology
Alpha Feedbacks,alpha feedback,psychology
"Groups, Encounter",group encounter,psychology
Diet Habits,diet habit,psychology
"Memory, Spatial",memory spatial,psychology
Drowsinesses,,psychology
"flexibility, tolerance",flexibility tolerance,psychology
Capgras Syndrome,syndrome,psychology
Tonic Immobilization,tonic immobility,psychology
"Use, Recreational Marijuana",use recreational marijuana,psychology
Loss anticipation,loss anticipation,psychology
Adult Learning Disorders,adult learning disorder,psychology
Underage Alcohol Use,alcohol use,psychology
"Function, Cognitive",function cognitive,psychology
"Disagreements, Professional-Patient",disagreement professional patient,psychology
Adult Night Terrors,adult night,psychology
"Immobilization, Tonic",immobility tonic,psychology
Emotional Depressions,emotional depression,psychology
Locus of Control,locus control,psychology
Tactions,,psychology
"Multi-Infarcts, Dementia",multi infarction dementia,psychology
Acute Stress Disorder,acute stress disorder,psychology
Female Athlete Triad Syndrome,female athlete triad syndrome,psychology
Neurocirculatory Asthenia,asthenia,psychology
Economic value processing,economic value process,psychology
Smoking Cessations,smoking,psychology
"Noncompliance, Patient",noncompliance patient,psychology
Imprinting (Psychology),imprinting psychological,psychology
Wakefulnesses,,psychology
"Phototransduction, Visual",phototransduction visual,psychology
Optimism,optimism,psychology
"Disorder, Passive-Aggressive Personality",disorder passive aggressive person,psychology
"Distances, Social",distance social,psychology
Coprophagia,,psychology
Familial Pick's Diseases,familiar pick disease,psychology
Treatment Resistant Depressions,treatment resistance depression,psychology
Auditory Localization,auditory localization,psychology
Musculoskeletal equilibrium sensation,musculoskeletal equilibrium sensation,psychology
"Peer Review, Publishing",peer review publishing,psychology
Medically Assisted Suicide,medical assisted suicide,psychology
"Refractory Period, Psychologic",refractory period psychological,psychology
Social Identification,social identification,psychology
Olfactory Agnosia,olfactory agnosia,psychology
Prospective planning,prospective planning,psychology
Secondary Traumatic Stress,secondary traumatic stress,psychology
"Disorders, Child Behavior",disorder child behavior,psychology
Post-Ictal Amnesia,post ictal amnesia,psychology
Meta-memory,meta memory,psychology
Paranoid Personality Disorders,paranoid personality disorder,psychology
Communication,communication,psychology
Extrinsic motivation,extrinsic motivation,psychology
Insomnia Disorders,insomnia disorder,psychology
"Spatial Processing, Auditory",spatial processing auditory,psychology
Visual Field,visual field,psychology
Acquired Gerstmann's Syndrome,acquired gerstmann syndrome,psychology
Sexual Harrassment,sexual,psychology
Nightmares,nightmares,psychology
Working memory maintenance,working memory maintenance,psychology
Hypervigilance,hypervigilance,psychology
"Disparity, Visual",disparity visual,psychology
Physical Anhedonia,physical anhedonia,psychology
"Reactive Psychosis, Brief",reactive psychosis brief,psychology
Wisdom,wisdom,psychology
"Abuse, Drug",abuse drug,psychology
Animal Mating Behaviors,animal mating behavior,psychology
"Phone Use, Cell",phone use cell,psychology
"Satisfaction, Patient",satisfaction patient,psychology
willingness to work,willingness work,psychology
GRN-Related Frontotemporal Dementias,grn related frontotemporal dementia,psychology
Just Noticeable Difference,noticeable difference,psychology
"Communication Disorder, Developmental",communication disorder development,psychology
Uncertainty,uncertainty,psychology
Smoking Blunt,smoking blunt,psychology
"Syndrome, Tourette",syndrome tourette,psychology
Psychoses,psychosis,psychology
Edge detection,edge detection,psychology
Discriminations (Psychology),discrimination psychological,psychology
Mediating,mediating,psychology
"Harassment, Sexual",harassment sexual,psychology
Sleep State Misperception,sleep state misperception,psychology
Drug-Seeking Behaviors,drug seeking behavior,psychology
Field Dependence-Independence,field dependent independence,psychology
Lewy Body Disease,lewy body disease,psychology
Fast-Wave Sleep,fast wave sleep,psychology
Visual Light Signal Transduction,visual light signal transduction,psychology
"Isolation, Social",isolation social,psychology
"Habit, Dietary",habit dietary,psychology
Delayed Sleep-Phase Syndrome,delayed sleep phase syndrome,psychology
Alcohol Drinking,alcohol drinking,psychology
"Processings, Auditory Spatial",auditory spatial,psychology
Neurotic Disorder,neuroticism disorder,psychology
Skepticism,skepticism,psychology
"Relations, Doctor Patient",relationship doctor patient,psychology
Communitarianism,,psychology
"Habituation, Psychophysiological",habituation psychophysiological,psychology
Physician's Roles,physician role,psychology
Parent Child Relations,parent child relationship,psychology
Consciousness Disorder,conscious disorder,psychology
REM Sleep,rem sleep,psychology
Phonological buffer,phonological buffer,psychology
Facial happiness recognition,facial happiness recognition,psychology
Stereotyped Behavior,stereotyped behavior,psychology
Self-Assessment,self assessment,psychology
Intertemporal Preference,intertemporal preference,psychology
"Orientations, Psychological",orientation psychological,psychology
"Frontotemporal Dementia, GRN-Related",frontotemporal dementia grn related,psychology
Willis Ekbom Disease,willi disease,psychology
Arteriosclerotic Dementia,arteriosclerosis dementia,psychology
"Postponements, Marriage",marriage,psychology
Alcohol Amnestic Disorders,alcohol amnestic disorder,psychology
"Fears, Dental",fear dental,psychology
Conjunction search,conjunction search,psychology
"D Personality, Type",person type,psychology
Body-Mind Relations,body mind relationship,psychology
"Moods, Irritable",mood irritable,psychology
"Mutilation, Self",mutilation self,psychology
"CNS Hypersomnolence, Idiopathic",cns idiopathic,psychology
Schizophrenic Language,schizophrenia language,psychology
Interpersonal Skills,interpersonal skills,psychology
Self-Examination,self examination,psychology
"Personalities, Antisocial",person antisocial,psychology
Lie Detection,lie detection,psychology
Meta cognitive Control,meta cognitive control,psychology
Panic Disorder,panic disorder,psychology
Habit memory,habit memory,psychology
"Behavior, Multi-Tasking",behavior multi taking,psychology
"Terrors, Primary Night",primary night,psychology
"Biofeedbacks, Electroencephalography",electroencephalography,psychology
"Night Terrors, Primary",night primary,psychology
Sleepwalking,,psychology
"Neuroses, Post Traumatic",post traumatic,psychology
"Vocalization, Animal",vocalization animal,psychology
"Aphasias, Primary Progressive",aphasia primary progressive,psychology
Parent-Child Relations,parent child relationship,psychology
Goal,goal,psychology
"Hallucinations, Visual, Unformed",hallucination visual,psychology
Disputes,dispute,psychology
Eating Habit,eating habit,psychology
Same-Sex Marriage,sex marriage,psychology
Detection,detection,psychology
"Psychoses, Alcoholic",psychosis alcohol,psychology
Differential Threshold,difference threshold,psychology
"Psychosis, Manic Depressive",psychosis manic depression,psychology
blind sight,blind sight,psychology
"Roles, Women's",role women,psychology
Narrative Ethics,narrative ethics,psychology
"Declines, Cognitive",decline cognitive,psychology
"Networks, Kinship",network kinship,psychology
Elimination Disorders,elimination disorder,psychology
Remarriages,,psychology
Repression Sensitization Scales,repression sensitization scale,psychology
Autobiographical Memory,autobiographical memory,psychology
Grandfather,grandfather,psychology
Declarative memory,declarative memory,psychology
Father,father,psychology
"Amnesia, Pre-Ictal",amnesia pre ictal,psychology
Prejudice,prejudice,psychology
"Sleep Bruxisms, Childhood",sleep childhood,psychology
Tactile Sense,tactile sense,psychology
Illicit Behaviors,illicit behavior,psychology
"Dependence, Alcohol",dependence alcohol,psychology
"Participation Rates, Patient",participate rate patient,psychology
Meta-cognitive Control,meta cognitive control,psychology
Koro,,psychology
Expectancy,expectancy,psychology
Intertemporal Preferences,intertemporal preference,psychology
"Vision, Color",vision color,psychology
"Participation Rate, Patient",participate rate patient,psychology
"Disorders, Combat",disorder combat,psychology
Dative shift,shift,psychology
Search,search,psychology
"Grants, Peer Review",grant peer review,psychology
Mother's Clubs,mother club,psychology
"Smoking, Cocaine",smoking cocaine,psychology
"Encephalopathy, Subacute Spongiform",encephalopathy subacute spongiform,psychology
Perceptual Distortion,perceptual distortion,psychology
Transient Global Amnesia,transient global amnesia,psychology
"Representation, Body",representation body,psychology
"Skills, Coping",skill coping,psychology
Death Feignings,death,psychology
Ubiquitin-Positive Frontotemporal Dementia,ubiquitin positive frontotemporal dementia,psychology
T-Group,group,psychology
Binocular vision,binocular vision,psychology
"Hallucination, Hypnapompic",hallucination,psychology
Social Behavior,social behavior,psychology
Cognitive Impairment,cognitive impairment,psychology
"Feigning, Death",death,psychology
Sensory memory,sensory memory,psychology
Cell Phone Uses,cell phone uses,psychology
"Stresses, Work Place",stress work place,psychology
Bisexuality,,psychology
Psychology Repression,psychological repression,psychology
Homing Behavior,homing behavior,psychology
Self-Injurious Behavior,self injurious behavior,psychology
Learning Disability,learning disabilities,psychology
Agonistic Behavior,agonistic behavior,psychology
"Hysteria, Conversion",hysteria conversion,psychology
"Transition Disorders, Sleep-Wake",transition disorder sleep wake,psychology
Social motivation,social motivation,psychology
Medication Non Adherence,medication non adherence,psychology
Sexual Harassments,sexual,psychology
Spatial Navigation,spatial navigation,psychology
Pronunciation,pronunciation,psychology
"Gait Apraxias, Frontal",gait frontal,psychology
Cataleptic Immobilization Reaction,immobility reaction,psychology
Dehumanization,,psychology
Auditory Fatigue,auditory fatigue,psychology
"Personality, Inadequate",person inadequate,psychology
Waterpipe Smoking,smoking,psychology
Impulsivity,impulsivity,psychology
Perfectionism,perfectionism,psychology
"Disparities, Vision",disparity vision,psychology
Dyslexia,dyslexia,psychology
Ureteral Colics,ureteral,psychology
"Identity, Gender",identity gender,psychology
Adult Daughters,adult daughter,psychology
Non-fluent Primary Progressive Aphasia,non fluent primary progressive aphasia,psychology
"Bias, Anti-Gay",bias anti gay,psychology
"Fusions, Flicker",fusion flicker,psychology
"Ranges, Home",range home,psychology
sensitivity,sensitive,psychology
Schizoid Personality,schizoid person,psychology
Anger,anger,psychology
Sickness Behavior,sickness behavior,psychology
Morgellons Syndrome,syndrome,psychology
Processing stage,processing stage,psychology
Familial Creutzfeldt Jakob Disease,familiar creutzfeldt jakob disease,psychology
"Organic Mental Disorders, Substance Induced",organic mental disorder substance induced,psychology
Therapy-Resistant Depressions,therapy resistance depression,psychology
"Senses, Position",sense position,psychology
"Personality Disorders, Antisocial",personality disorder antisocial,psychology
"Responses, Startle",response startle,psychology
Prostitution,,psychology
"Syndrome, Narcoleptic",syndrome narcolepsy,psychology
"Dementias, Semantic",dementia semantic,psychology
"Identification, Group",identification group,psychology
Left hand response execution,left hand response execution,psychology
auditory sensitivity,auditory sensitivity,psychology
"mental set shifting, task set reconfiguration",mental set shifting task set reconfiguration,psychology
"Eating-Drinking Syndromes, Nocturnal",eating drinking syndrome nocturnal,psychology
"Agnosia, Congenital Auditory",agnosia congenital auditory,psychology
Clerambault Syndrome,syndrome,psychology
"Parasitoses, Ekbom Delusory",,psychology
Group Process,group process,psychology
Primary Dyscalculias,primary,psychology
"Collection, Breastmilk",collection,psychology
Visual Acuity,visual acuity,psychology
"Selections, Food",selection food,psychology
"Disorders, Panic",disorder panic,psychology
Opiate Dependence,opiate dependence,psychology
New Variant Creutzfeldt Jakob Disease,new variant creutzfeldt jakob disease,psychology
Schizophrenic Disorder,schizophrenia disorder,psychology
Severe Mental Disorders,severe mental disorder,psychology
"Disorders, Organic Mental",disorder organic mental,psychology
"Refusal, Vaccine",refusal vaccine,psychology
Toilet Trainings,toilet training,psychology
Codependencies (Psychology),psychological,psychology
"Disorders, Hoarding",disorder hoarding,psychology
Parasomnias,,psychology
Tactile Amnesias,tactile,psychology
"Learning, Avoidance",learning avoidance,psychology
"Syndrome, Creutzfeldt-Jakob",syndrome creutzfeldt jakob,psychology
Acquired-Immune Deficiency Syndrome Dementia Complex,acquired immune deficit syndrome dementia complex,psychology
"Personality, Schizoid",person schizoid,psychology
Youth Alcohol Consumption,youth alcohol consumption,psychology
Creativeness,,psychology
Delusional Parasitosis,delusions,psychology
Postanesthetic Excitement,excitement,psychology
Child Rearings,child rearing,psychology
Startle Reaction,startle reaction,psychology
Categorization,categories,psychology
"Agnosias, Position",position,psychology
"Processing, Visual-Auditory Spatial",process visual auditory spatial,psychology
"Concept, Role",concept role,psychology
"Singings, Animal",animal,psychology
"Degeneration, Frontotemporal Lobar",degeneration frontotemporal lobar,psychology
Husband Wife Communication,husband wife communication,psychology
"Hallucinations, Gustatory",hallucination gustatory,psychology
"Driving, Drunken",driving,psychology
"Injury, Moral",injury moral,psychology
Semantic category,semantic category,psychology
dependency,dependent,psychology
Sensitivity Training Group,sensitive training group,psychology
"slow, socially withdrawn",slow social withdrawal,psychology
"Psychomotor Disorder, Developmental",psychomotor disorder development,psychology
Implicit learning,implicit learning,psychology
Double Bind Interaction,double bind interaction,psychology
Crossmodal,cross modal,psychology
Mother Fetus Relationship,mother fetus relationship,psychology
Physician Patient Relationship,physician patient relationship,psychology
"Behavior, Illness",behavior illness,psychology
Suicidal Ideations,suicidal ideation,psychology
"Anxiety Disorders, Social",anxiety disorder social,psychology
"Syndromes, Short Sleeper",syndrome short,psychology
Double Bind Interactions,double bind interaction,psychology
"Discrimination, Racial",discrimination racial,psychology
"Behavior, Unlawful",behavior,psychology
Rod-Cone Interaction,rod cone interaction,psychology
Binocular rivalry,binocular rivalry,psychology
Altered Level of Consciousness,altered level conscious,psychology
"Stages, Oral Sadistic",stage oral,psychology
Attention Deficit and Disruptive Behavior Disorders,attention deficit disruptive behavior disorder,psychology
"Syndrome, Mesulam's",syndrome mesulam,psychology
Patient No-Show,patients show,psychology
Glue Abuses,glue,psychology
"Learning Disorders, Specific",learning disorder specific,psychology
"Disorders, Intermittent Explosive",disorder intermittent explosive,psychology
Error Disclosures,error disclosure,psychology
"Disease, Willis Ekbom",disease willi,psychology
Coping Skills,coping skills,psychology
Claustrophobia,claustrophobia,psychology
Mothers' Club,mother club,psychology
Autistic Disorder,autistic disorder,psychology
"Dyslexia, Developmental",dyslexia development,psychology
Phonation Apraxia,phonation apraxia,psychology
[OBSOLETE] Psychology Functional Behavior,obsolete psychological function behavior,psychology
Soul-Body Relation,soul body relationship,psychology
Reinforcements,reinforcement,psychology
Adolescent Drinking,adolescent drinking,psychology
Cerebral Beriberi,cerebral,psychology
Nonpsychotic Organic Brain Syndrome,nonpsychotic organic brain syndrome,psychology
Alcohol Induced Korsakoff Syndrome,alcohol induced korsakoff syndrome,psychology
"Tic Disorders, Childhood",tic disorder childhood,psychology
"Relationship, Physician Patient",relationship physician patient,psychology
Pavlovian conditioning,pavlovian conditioning,psychology
"Illusion, Kinesthetic",illusion kinesthetic,psychology
"Memories, Short-Term",memories short term,psychology
"Syndrome, Ganser",syndrome,psychology
Sociopathic Personalities,person,psychology
Programmed Learning,program learning,psychology
Human Coprophagy,human,psychology
"Dysfunctions, Psychosexual",dysfunction,psychology
Herbal Smoking,herbal smoking,psychology
Childhood Communication Disorder,childhood communication disorder,psychology
"Acceptance, Social",acceptance social,psychology
Sleep Fragmentation,sleep fragmentation,psychology
DOES (Disorders of Excessive Somnolence),disorder excessive somnolence,psychology
Perceptual Masking,perceptual making,psychology
"Behavior, Host-Seeking",behavior host seeking,psychology
Rejection,rejection,psychology
Recurrent Hypersomnia,recurrent hypersomnia,psychology
Primary Hypersomnolence Disorders,primary disorder,psychology
Psychological Trauma,psychological trauma,psychology
Memory consolidation,memory consolidation,psychology
Habituations (Psychophysiology),psychophysiological,psychology
Asperger Syndrome,asperger syndrome,psychology
"Activities, Higher Nervous",activities higher nervous,psychology
"Group, Peer",group peer,psychology
"Withdrawal, Neonatal Substance",withdrawal neonatal substance,psychology
Multiple Identity Disorder,multiple identity disorder,psychology
Psychologic Refractory Periods,psychological refractory period,psychology
Coronary Prone Personality,coronary prone person,psychology
Morphology,morphology,psychology
Duty to Recontact,duty,psychology
Uncertainty,uncertainty,psychology
"Communications, Animal",communication animal,psychology
Error trapping,error tapping,psychology
"Perception, Tactile",perception tactile,psychology
"Retardations, Psychosocial Mental",psychosocial mental,psychology
Visual Disparity,visual disparity,psychology
"Feedbacks, Bogus Physiological",feedback physiological,psychology
"Psychoses, Substance-Induced",psychosis substance induced,psychology
"Differences, Just-Noticeable",difference noticeable,psychology
Mind-Body Relation (Non-Physiology),mind body relationship non physiological,psychology
"Relationship, Dentist-Patient",relationship dentist patient,psychology
"Dysfunction, Sleep Initiation",dysfunction sleep initiation,psychology
Pain sensation,pain sensation,psychology
Maternal Behaviors,maternal behavior,psychology
Cognitive Retention Disorder,cognitive retention disorder,psychology
"Syndrome, PPA",syndrome ppa,psychology
"Delusional Parasitoses, Ekbom",delusions,psychology
Mental Recall,mental recall,psychology
"Sleep-Wake Disorder, Non-24 Hour",sleep wake disorder non hour,psychology
"Behavior, Appetitive",behavior appetitive,psychology
"Dreams, Day",dream day,psychology
"Affective Psychosis, Bipolar",affective psychosis bipolar,psychology
Child Development Disorder,child development disorder,psychology
Signal Detection Theory,signal detection theory,psychology
Mechanical reasoning,mechanical reasoning,psychology
Lifestyle Risk Reductions,lifestyle risk reduction,psychology
"Disorder, Treatment-Resistant Depressive",disorder treatment resistance depression,psychology
Aversive learning,aversive learning,psychology
Drug Dependence,drug dependence,psychology
"Encephalopathy, Subcortical, Chronic Progressive",encephalopathy subcortical chronic progressive,psychology
"Limens, Difference",difference,psychology
Anticipation,anticipation,psychology
Juvenile Huntington Disease,juvenile huntington disease,psychology
Consummatory Behavior,consummatory behavior,psychology
Bottle Feedings,bottle feeding,psychology
First Birth,first birth,psychology
Gesture,gesture,psychology
"Interruptus, Coitus",,psychology
Motor Control Laterality,motor control lateral,psychology
"Consumption, Tobacco",consumption tobacco,psychology
"Trauma, Vicarious",trauma vicarious,psychology
"Communication, Personal",communication person,psychology
Speech Sound Disorder,speech sound disorder,psychology
"Review, Publishing Peer",review publishing peer,psychology
"Relations, Father-Child",relationship father child,psychology
Touch Perceptions,touch perception,psychology
Adaptive Behaviors,adaptive behavior,psychology
Discrimination function,discrimination function,psychology
Emotional mimicry,emotional mimicry,psychology
Anger,anger,psychology
"Personality Disorders, Passive Aggressive",personality disorder passive aggressive,psychology
"Interaction, Double Bind",interaction double bind,psychology
Externalizing,external,psychology
"Gerstmann Syndrome, Acquired",gerstmann syndrome acquired,psychology
"Migration, Animal",migration animal,psychology
Verbal speaking,verbal speaking,psychology
"Depressions, Emotional",depression emotional,psychology
"Smokings, Blunts",blunt,psychology
Disorganized Schizophrenias,disorganized,psychology
"Sensations, Phantom",sensation phantom,psychology
"Disorders, Schizophrenic",disorder schizophrenia,psychology
"Schizophrenias, Disorganized",disorganized,psychology
"Rearings, Child",rearing child,psychology
"Schizophrenia, Childhood-Onset",schizophrenia childhood onset,psychology
Type A Personalities,type person,psychology
"Dementia, Alzheimer Type",dementia alzheimer type,psychology
Rewards,reward,psychology
Overt naming,overt naming,psychology
Extramarital Relations,relationship,psychology
Group Meeting,group meeting,psychology
Incidental learning,incidental learning,psychology
"Syndrome, Briquet",syndrome,psychology
Classical Conditionings,classical,psychology
Dentist-Patient Relationships,dentist patient relationship,psychology
"Hallucination, Gustatory",hallucination gustatory,psychology
"Learning, Maze",learning maze,psychology
Orgasmic Disorders,disorder,psychology
Visual Perceptions,visual perception,psychology
Tobacco Dependence,tobacco dependence,psychology
"Dementias, Multi-Infarct",dementia multi infarction,psychology
"Fatigue, Auditory",fatigue auditory,psychology
Goal selection,goal selection,psychology
Phonological encoding,phonological encoding,psychology
"Recognition, Physiological Pattern",recognition physiological pattern,psychology
"Bia, Anti-Homosexual",bia anti homosexual,psychology
"Behaviors, Risk",behavior risk,psychology
"Dementia, HIV",dementia hiv,psychology
"Conformities, Social",social,psychology
"Immobility Response, Tonic",immobility response tonic,psychology
Social Interactions,social interaction,psychology
"Tic Disorder, Vocal",tic disorder vocal,psychology
Soul-Body Relations,soul body relationship,psychology
Vape,,psychology
Cocaine Abuse,cocaine abuse,psychology
"Disorder, Childhood-Onset Fluency",disorder childhood onset fluency,psychology
Animal Mating Preference,animal mating preference,psychology
Gelineaus Syndrome,syndrome,psychology
Spatial Memory,spatial memory,psychology
Subcortical Leukoencephalopathy,subcortical leukoencephalopathy,psychology
"Pattern Recognition, Auditory",pattern recognition auditory,psychology
Difference Limen,difference limen,psychology
Aspergers Disorder,disorder,psychology
Wernicke Korsakoff Syndrome,wernicke korsakoff syndrome,psychology
Tobacco Cessation,tobacco cessation,psychology
Social Rejection,social rejection,psychology
Loudness Perception,loudness perception,psychology
Reversal Learning,reversal learning,psychology
Perceptual Defense,perceptual defense,psychology
Patient Refusal of Treatment,patient refusal treatment,psychology
Anomie,,psychology
"Image Disfunctions, Body",image body,psychology
"Patient Relationship, Nurse",patient relationship nurse,psychology
Interpretive braille reading,interpretive braille reading,psychology
"Development Deviations, Child",development deviation child,psychology
"Limb, Phantom",limb phantom,psychology
Focus,focus,psychology
Fathers,father,psychology
Conflicts (Psychology),conflict psychological,psychology
"Age, Parental",age parental,psychology
"Vigilance, Cortical",vigilance cortical,psychology
"Drinking Ages, Legal",drinking ages legal,psychology
Lexeme,,psychology
"Disease, Pick",disease pick,psychology
"Syndromes, Narcoleptic",syndrome narcolepsy,psychology
Youth Drinking,youth drinking,psychology
"Expression, Breast Milk",expression breast milk,psychology
"Gerstmann's Syndrome, Acquired",gerstmann syndrome acquired,psychology
"Dyspraxias, Articulatory",articulation,psychology
Personality,person,psychology
"Behavior, Sickness",behavior sickness,psychology
Sensory stimulus transduction,sensory stimulus transduction,psychology
Insomnias,,psychology
Therapeutic Compliance,therapeutic compliance,psychology
Crushing Pain,crushing pain,psychology
"Behaviors, Illicit",behavior illicit,psychology
"Perception, Olfactory",perception olfactory,psychology
"Disorders, Shared Paranoid",disorder shared paranoid,psychology
"Disorders, Depersonalization",disorder depersonalization,psychology
Suffering,suffering,psychology
"Personnel, Communications",personnel communication,psychology
Conduct disorder,conduct disorder,psychology
Co Dependences (Psychology),co dependent psychological,psychology
Learning Disturbances,learning disturbance,psychology
Unsafe Sex,unsafe sex,psychology
"Skin Response, Galvanic",skin response galvanic,psychology
Alzheimer Type Dementia,alzheimer type dementia,psychology
Gayet Wernicke Encephalopathy,wernicke encephalopathy,psychology
Timidity,,psychology
Refractory Depressions,refractory depression,psychology
"Behavior, Problem",behavior problem,psychology
Opium Use,use,psychology
"Fatigue, Mental",fatigue mental,psychology
"Disorders, Treatment-Resistant Depressive",disorder treatment resistance depression,psychology
Ideomotor Dyspraxias,ideomotor,psychology
Proactive control,proactive control,psychology
"Family, Single-Parent",family single parent,psychology
"Spatial Processings, Auditory-Visual",spatial auditory visual,psychology
"Sleep Disorders, Limit-Setting",sleep disorder limit setting,psychology
Coordination,coordination,psychology
Verbal function,verbal function,psychology
Semantic memory,semantic memory,psychology
Attention Deficit Disorders with Hyperactivity,attention deficit disorder hyperactivity,psychology
Traumatic Psychoses,traumatic psychosis,psychology
"Hypersomnolence, CNS, Idiopathic",cns idiopathic,psychology
Widowed,widowed,psychology
Crowding,crowding,psychology
Vection,,psychology
"Polydipsias, Primary",primary,psychology
Polygyny,,psychology
[OBSOLETE] Child Mental Disorders,obsolete child mental disorder,psychology
Physician Patient Relationships,physician patient relationship,psychology
Auditory Inattentions,auditory,psychology
Problem-Based Learning,problem based learning,psychology
Auditory coding,auditory coding,psychology
"Development, Child",development child,psychology
Mental Orientations,mental orientation,psychology
"Relationships, Physician Patient",relationship physician patient,psychology
Transvestic Fetishism,,psychology
"Anhedonias, Social",social,psychology
Healthy Diet,healthy diet,psychology
Post Partum Depression,post partum depression,psychology
Communication Disorders,communication disorders,psychology
"Dysmnesic Syndrome, Alcohol-Induced",syndrome alcohol induced,psychology
Paradoxical Sleep,paradoxical sleep,psychology
Physical Sufferings,physical,psychology
Intentions,intention,psychology
Taste Thresholds,taste threshold,psychology
Stereognoses,,psychology
"Disease, Wilhelmsen-Lynch",disease lynch,psychology
Sadness,sadness,psychology
"Schizophrenias, Catatonic",catatonic,psychology
"Behavior, Animal Eliminative",behavior animal,psychology
